strainID	genus	family	order	class	phylum	kingdom
Leaf84	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Leaf85	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf86	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf87	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf88	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf89	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf90	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf91	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf92	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf93	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf94	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf99	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf100	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf102	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf104	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf106	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf108	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf111	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf112	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf113	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf117	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf119	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf121	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf122	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf123	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf125	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf126		Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Leaf127	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Leaf129	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Leaf130	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Leaf131	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Leaf137	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf139	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Leaf141	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf145	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf148	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Leaf151	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf154	Curtobacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf155	Agrobacterium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf159	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf160	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Leaf161	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf164	Curtobacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf168		Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf171	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf172	Curtobacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf176	Pedobacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Leaf177	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Leaf179	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf180		Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Leaf182	Brevibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Leaf183	Curtobacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf185		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf186	Curtobacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf187	Exiguobacterium	Exiguobacterium	Bacillales	Bacilli	Firmicutes	Bacteria
Leaf189	Dyadobacter	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Leaf191	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Leaf194		Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Leaf196	Exiguobacterium	Exiguobacterium	Bacillales	Bacilli	Firmicutes	Bacteria
Leaf198	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf201		Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Leaf202	Agrobacterium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf203	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf208	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf210		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf216	Pedobacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
Leaf220		Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Leaf222		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf225	Rhodococcus	Nocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf226	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf230	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf231	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf233	Rhodococcus	Nocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf234	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf242	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf244		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf245	Aeromicrobium	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf247	Rhodococcus	Nocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf254		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf257	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf258	Rhodococcus	Nocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf261		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf262		Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf263	Curtobacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf264	Agromyces	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf265		Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Leaf267	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Leaf272	Aeromicrobium	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf274	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Leaf278	Rhodococcus	Nocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf280		Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf283		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf285	Nocardioides	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf288	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf289	Aeromicrobium	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf291	Aeromicrobium	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf294		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf296		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf299		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf304	Curtobacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf306	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf307		Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf311	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf314	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf320	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf321	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf324		Aurantimonadaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf325	Agromyces	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf326	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcus-Thermus	Bacteria
Leaf334	Cellulomonas	Cellulomonadaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf335		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf336	Leifsonia	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf337	Arthrobacter	Micrococcaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf339	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf341	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf343		Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf344	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf347		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf351		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf354	Gordonia	Gordoniaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf357	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf359	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Leaf361	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf363	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf369		Geodermatophilaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf371	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf380		Geodermatophilaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf383	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf384	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf386	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf391	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf394	Chryseobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Leaf395	Cellulomonas	Cellulomonadaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf396	Bradyrhizobium	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf399	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf400		Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Leaf404	Chryseobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Leaf405	Chryseobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Leaf406	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Leaf407	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf412	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf414		Methylophilaceae	Methylophilales	Betaproteobacteria	Proteobacteria	Bacteria
Leaf415	Curtobacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf416		Methylophilaceae	Methylophilales	Betaproteobacteria	Proteobacteria	Bacteria
Leaf420		Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf427		Aurantimonadaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf434	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Leaf436	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf443		Aurantimonadaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf446	Nocardioides	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Leaf453	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf454		Aurantimonadaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf456	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf459		Methylophilaceae	Methylophilales	Betaproteobacteria	Proteobacteria	Bacteria
Leaf460		Aurantimonadaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf465	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf466	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Leaf469	Methylobacterium	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root4	Agromyces	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root9	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root11	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Root22		Promicromonosporaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root29		Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root31	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root50	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Root52	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Root53	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root55	Streptomyces	Streptomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root60		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root61	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root63	Streptomyces	Streptomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root65	Pseudoxanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root68	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root70	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root71	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root73	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root74	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root76		Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root77		Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Root79	Nocardioides	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root81	Agromyces	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root83	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root85		Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root96		Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root100		Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root101	Janibacter	Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root102	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root105		Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root107		Streptomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root122	Nocardioides	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root127	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root131	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Root133	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root135	Mycobacterium	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root136	Nocardia	Nocardiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root137	Cellulomonas	Cellulomonadaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root140	Nocardioides	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root142	Sinorhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root147		Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Root149	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root151	Nocardioides	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root154		Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Root157	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root166	Microbacterium	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root170	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root172	Mesorhizobium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root179	Rhodanobacter	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root180		Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root181		Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root186	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
